gene	B	CD4	CD8	NK	cMono	ncMono
CHCHD2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ZNF107	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
CASTOR3P	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
LRWD1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
POLR2J3	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
COG5	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ERICH1	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
BLK	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
ANK1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ZC2HC1A	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PKHD1L1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SAMD12	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
NAPRT	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
RPL8	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ZNG1A	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HACD4	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
CAAP1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
NUDT2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
GRHPR	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
RPL12	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
DYNC2I2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
REXO4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
LCN8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
OPTN	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
PPA1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
HSPA12A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
IFITM2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
IFITM1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
IFITM3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
SIGIRR	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
ARL14EP	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
TIMM10	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
PRPF19	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
FADS1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
XRRA1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
SIDT2	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
VWA5A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
KLRK1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PRH1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
DDX11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
DIP2B	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
RPS26	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ISCU	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
RHOF	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
DNAJC15	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CCDC122	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
ITM2B	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
COMMD6	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
TMTC4	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
RNASE6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
RBM23	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
RPL36AL	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
KTN1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ERG28	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
WARS1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PPP2R5C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
NUDT14	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
IGHV4-61	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
IGHV1-69	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
IGHV1-69D	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
IGHV2-70	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ULK3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TSPAN3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SAXO2	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
TUFM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ELP5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
EIF5A	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
EVI2A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
CCL4L2	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ORMDL3	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
NT5C3B	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
NSF	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
XYLT2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
SPATA20	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
TOB1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
RAD51C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
MILR1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
ARL16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
DCXR	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ENOSF1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
TPGS2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
CYB5A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
CNDP2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
KDM4B	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF266	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
LRRC25	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF85	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ZNF100	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
FXYD5	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
POLR2I	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
SNRPD2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
CD37	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
HSPBP1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
RPL28	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ZNF749	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
CPNE1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
MYBL2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PKIG	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PLTP	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
OSBPL2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PPDPF	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CCT8	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
MRPS6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
CSTB	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
PWP2	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
GATD3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
IGLJ3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ASCC2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
LARGE1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SMDT1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
CYB5R3	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
FAM118A	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ARSA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
BEX4	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
TCEAL4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
SMIM10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF18	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
SSU72	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CDK11A	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
SLC35E2A	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
GNB1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PEX10	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MMEL1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
KCNAB2	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
NOL9	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
VAMP3	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
UTS2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PARK7	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
PRDM2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MUL1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NBPF3	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
RPL11	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TMEM50A	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
LDLRAP1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF593	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
CNKSR1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CD52	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
WDTC1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
THEMIS2	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
RPA2	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
PHACTR4	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
SRSF4	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PEF1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PTP4A2	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
LSM10	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
FHL3	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
NDUFS5	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
HPCAL4	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PPIE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
HIVEP3	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
SLC2A1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MED8	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
DMAP1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
RPS8	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
MUTYH	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
CMPK1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
BEND5	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
EPS15	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
DHCR24	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ITGB3BP	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
LEPROT	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
LEPR	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CTH	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CRYZ	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
NEXN	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
FUBP1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
GBP3	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
CDC7	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
GLMN	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
RWDD3	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
RTCA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
SLC25A24	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
GSTM2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
GSTM3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CAPZA1	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
CD101	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
NBPF26	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
SRGAP2C	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
NBPF12	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CHD1L	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
PLEKHO1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PSMB4	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
TDRKH	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
THEM4	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
HAX1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ADAM15	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
RIT1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ISG20L2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PYHIN1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
AIM2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TSTD1	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
USF1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
ARHGAP30	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ATF6	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
RCSD1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
XCL1	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
F5	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
METTL18	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
VAMP4	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
PRDX6	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SOAT1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
NCF2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ARPC5	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
TSEN15	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TPR	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
GLRX2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
KIF14	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
DDX59	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
NAV1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
LAX1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
IKBKE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
UTP25	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PACC1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
EPRS1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PYCR2	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
GALNT2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NTPCR	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
COA6	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
TARBP1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MTR	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
EFCAB2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
SCCPDH	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ACP1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TMEM18	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
TAF1B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PDIA6	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
LPIN1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TTC32	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
KRTCAP3	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TOGARAM2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
LCLAT1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
COX7A2L	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
FOXN2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ACYP2	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
CLHC1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
MDH1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ACTR2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
GFPT1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PRADC1	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
ALMS1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MTHFD2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
POLE4	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
CAPG	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
VAMP5	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
IMMT	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CHMP3	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ANKRD36B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ZAP70	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TSGA10	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
TMEM87B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PSD4	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
PAX8	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
BIN1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
LIMS2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MZT2B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MZT2A	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ARHGAP15	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NMI	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
PSMD14	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CDCA7	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
OLA1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
SESTD1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PMS1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NEMP2	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
HSPD1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
FTCDNL1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
SUMO1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ARPC2	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
SERPINE2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
MFF	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
ITM2C	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
EIF4E2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
USP40	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
UBE2F	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NDUFA10	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
PASK	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
SEPTIN2	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
BRK1	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
TAMM41	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
OXNAD1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CMTM7	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PDCD6IP	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
XYLB	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ULK4	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ZNF502	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
SACM1L	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
NME6	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
IP6K2	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
PPM1M	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
GLT8D1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CCDC66	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ARHGEF3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
LRIG1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
TAFA1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
CHMP2B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
SENP7	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ZBTB11	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
DZIP3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
ABHD10	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
B4GALT4	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
