Mode Cell1 Cell2 overlap_percent overlap_raw
cis_independent CD8 CD8 100 299
cis_independent CD8 CD4 27.6548672566372 250
cis_independent CD8 PB 2.33333333333333 7
cis_independent CD8 NK 34.3601895734597 145
cis_independent CD8 ncMono 13.9107611548556 53
cis_independent CD8 HSC 2.95081967213115 9
cis_independent CD8 B 18.9944134078212 68
cis_independent CD8 MAIT 1.98675496688742 6
cis_independent CD8 iNKT 0.33112582781457 1
cis_independent CD8 GDT 7 21
cis_independent CD8 DP 6.6006600660066 20
cis_independent CD8 DN 3.33333333333333 10
cis_independent CD8 DC 12.0743034055728 39
cis_independent CD8 cMono 15.5111633372503 132
cis_independent CD8 PLT 0 0
cis_independent CD4 CD8 27.6548672566372 250
cis_independent CD4 CD4 100 855
cis_independent CD4 PB 0.817757009345794 7
cis_independent CD4 NK 18.2105263157895 173
cis_independent CD4 ncMono 7.25893824485374 67
cis_independent CD4 HSC 1.16279069767442 10
cis_independent CD4 B 9.23248053392659 83
cis_independent CD4 MAIT 0.816802800466744 7
cis_independent CD4 iNKT 0.116550116550117 1
cis_independent CD4 GDT 2.33372228704784 20
cis_independent CD4 DP 2.32828870779977 20
cis_independent CD4 DN 1.16822429906542 10
cis_independent CD4 DC 4.67502850627138 41
cis_independent CD4 cMono 17.2124904798172 226
cis_independent CD4 PLT 0.116414435389988 1
cis_independent PB CD8 2.33333333333333 7
cis_independent PB CD4 0.817757009345794 7
cis_independent PB PB 100 8
cis_independent PB NK 2.60223048327138 7
cis_independent PB ncMono 5.14705882352941 7
cis_independent PB HSC 15 3
cis_independent PB B 4.65116279069767 6
cis_independent PB MAIT 21.4285714285714 3
cis_independent PB iNKT 9.09090909090909 1
cis_independent PB GDT 20 5
cis_independent PB DP 23.0769230769231 6
cis_independent PB DN 35.7142857142857 5
cis_independent PB DC 9.23076923076923 6
cis_independent PB cMono 1.02189781021898 7
cis_independent PB PLT 0 0
cis_independent NK CD8 34.3601895734597 145
cis_independent NK CD4 18.2105263157895 173
cis_independent NK PB 2.60223048327138 7
cis_independent NK NK 100 268
cis_independent NK ncMono 13.8418079096045 49
cis_independent NK HSC 2.53623188405797 7
cis_independent NK B 17.5595238095238 59
cis_independent NK MAIT 2.2140221402214 6
cis_independent NK iNKT 0.3690036900369 1
cis_independent NK GDT 7.40740740740741 20
cis_independent NK DP 5.41516245487365 15
cis_independent NK DN 3.33333333333333 9
cis_independent NK DC 12.2033898305085 36
cis_independent NK cMono 12.5295508274232 106
cis_independent NK PLT 0.367647058823529 1
cis_independent ncMono CD8 13.9107611548556 53
cis_independent ncMono CD4 7.25893824485374 67
cis_independent ncMono PB 5.14705882352941 7
cis_independent ncMono NK 13.8418079096045 49
cis_independent ncMono ncMono 100 135
cis_independent ncMono HSC 4.89510489510489 7
cis_independent ncMono B 14.410480349345 33
cis_independent ncMono MAIT 2.85714285714286 4
cis_independent ncMono iNKT 0.72463768115942 1
cis_independent ncMono GDT 6.08108108108108 9
cis_independent ncMono DP 6 9
cis_independent ncMono DN 5.03597122302158 7
cis_independent ncMono DC 24.5283018867925 39
cis_independent ncMono cMono 16.0056657223796 113
cis_independent ncMono PLT 0 0
cis_independent HSC CD8 2.95081967213115 9
cis_independent HSC CD4 1.16279069767442 10
cis_independent HSC PB 15 3
cis_independent HSC NK 2.53623188405797 7
cis_independent HSC ncMono 4.89510489510489 7
cis_independent HSC HSC 100 15
cis_independent HSC B 5.97014925373134 8
cis_independent HSC MAIT 9.09090909090909 2
cis_independent HSC iNKT 5.55555555555556 1
cis_independent HSC GDT 15.625 5
cis_independent HSC DP 14.7058823529412 5
cis_independent HSC DN 23.8095238095238 5
cis_independent HSC DC 9.85915492957746 7
cis_independent HSC cMono 1.30434782608696 9
cis_independent HSC PLT 0 0
cis_independent B CD8 18.9944134078212 68
cis_independent B CD4 9.23248053392659 83
cis_independent B PB 4.65116279069767 6
cis_independent B NK 17.5595238095238 59
cis_independent B ncMono 14.410480349345 33
cis_independent B HSC 5.97014925373134 8
cis_independent B B 100 127
cis_independent B MAIT 3.81679389312977 5
cis_independent B iNKT 0.769230769230769 1
cis_independent B GDT 8.75912408759124 12
cis_independent B DP 10.2189781021898 14
cis_independent B DN 6.97674418604651 9
cis_independent B DC 19.4968553459119 31
cis_independent B cMono 7.55968169761273 57
cis_independent B PLT 0 0
cis_independent MAIT CD8 1.98675496688742 6
cis_independent MAIT CD4 0.816802800466744 7
cis_independent MAIT PB 21.4285714285714 3
cis_independent MAIT NK 2.2140221402214 6
cis_independent MAIT ncMono 2.85714285714286 4
cis_independent MAIT HSC 9.09090909090909 2
cis_independent MAIT B 3.81679389312977 5
cis_independent MAIT MAIT 100 9
cis_independent MAIT iNKT 8.33333333333333 1
cis_independent MAIT GDT 24 6
cis_independent MAIT DP 22.2222222222222 6
cis_independent MAIT DN 33.3333333333333 5
cis_independent MAIT DC 5.88235294117647 4
cis_independent MAIT cMono 0.726744186046512 5
cis_independent MAIT PLT 0 0
cis_independent iNKT CD8 0.33112582781457 1
cis_independent iNKT CD4 0.116550116550117 1
cis_independent iNKT PB 9.09090909090909 1
cis_independent iNKT NK 0.3690036900369 1
cis_independent iNKT ncMono 0.72463768115942 1
cis_independent iNKT HSC 5.55555555555556 1
cis_independent iNKT B 0.769230769230769 1
cis_independent iNKT MAIT 8.33333333333333 1
cis_independent iNKT iNKT 100 4
cis_independent iNKT GDT 4 1
cis_independent iNKT DP 3.7037037037037 1
cis_independent iNKT DN 7.14285714285714 1
cis_independent iNKT DC 1.51515151515152 1
cis_independent iNKT cMono 0.145560407569141 1
cis_independent iNKT PLT 0 0
cis_independent GDT CD8 7 21
cis_independent GDT CD4 2.33372228704784 20
cis_independent GDT PB 20 5
cis_independent GDT NK 7.40740740740741 20
cis_independent GDT ncMono 6.08108108108108 9
cis_independent GDT HSC 15.625 5
cis_independent GDT B 8.75912408759124 12
cis_independent GDT MAIT 24 6
cis_independent GDT iNKT 4 1
cis_independent GDT GDT 100 22
cis_independent GDT DP 24.3243243243243 9
cis_independent GDT DN 37.5 9
cis_independent GDT DC 13.3333333333333 10
cis_independent GDT cMono 1.72910662824207 12
cis_independent GDT PLT 0 0
cis_independent DP CD8 6.6006600660066 20
cis_independent DP CD4 2.32828870779977 20
cis_independent DP PB 23.0769230769231 6
cis_independent DP NK 5.41516245487365 15
cis_independent DP ncMono 6 9
cis_independent DP HSC 14.7058823529412 5
cis_independent DP B 10.2189781021898 14
cis_independent DP MAIT 22.2222222222222 6
cis_independent DP iNKT 3.7037037037037 1
cis_independent DP GDT 24.3243243243243 9
cis_independent DP DP 100 24
cis_independent DP DN 29.6296296296296 8
cis_independent DP DC 12.987012987013 10
cis_independent DP cMono 1.8705035971223 13
cis_independent DP PLT 0 0
cis_independent DN CD8 3.33333333333333 10
cis_independent DN CD4 1.16822429906542 10
cis_independent DN PB 35.7142857142857 5
cis_independent DN NK 3.33333333333333 9
cis_independent DN ncMono 5.03597122302158 7
cis_independent DN HSC 23.8095238095238 5
cis_independent DN B 6.97674418604651 9
cis_independent DN MAIT 33.3333333333333 5
cis_independent DN iNKT 7.14285714285714 1
cis_independent DN GDT 37.5 9
cis_independent DN DP 29.6296296296296 8
cis_independent DN DN 100 11
cis_independent DN DC 10.4477611940299 7
cis_independent DN cMono 1.45985401459854 10
cis_independent DN PLT 0 0
cis_independent DC CD8 12.0743034055728 39
cis_independent DC CD4 4.67502850627138 41
cis_independent DC PB 9.23076923076923 6
cis_independent DC NK 12.2033898305085 36
cis_independent DC ncMono 24.5283018867925 39
cis_independent DC HSC 9.85915492957746 7
cis_independent DC B 19.4968553459119 31
cis_independent DC MAIT 5.88235294117647 4
cis_independent DC iNKT 1.51515151515152 1
cis_independent DC GDT 13.3333333333333 10
cis_independent DC DP 12.987012987013 10
cis_independent DC DN 10.4477611940299 7
cis_independent DC DC 100 63
cis_independent DC cMono 6.71428571428571 47
cis_independent DC PLT 0 0
cis_independent cMono CD8 15.5111633372503 132
cis_independent cMono CD4 17.2124904798172 226
cis_independent cMono PB 1.02189781021898 7
cis_independent cMono NK 12.5295508274232 106
cis_independent cMono ncMono 16.0056657223796 113
cis_independent cMono HSC 1.30434782608696 9
cis_independent cMono B 7.55968169761273 57
cis_independent cMono MAIT 0.726744186046512 5
cis_independent cMono iNKT 0.145560407569141 1
cis_independent cMono GDT 1.72910662824207 12
cis_independent cMono DP 1.8705035971223 13
cis_independent cMono DN 1.45985401459854 10
cis_independent cMono DC 6.71428571428571 47
cis_independent cMono cMono 100 684
cis_independent cMono PLT 0.145348837209302 1
cis_independent PLT CD8 0 0
cis_independent PLT CD4 0.116414435389988 1
cis_independent PLT PB 0 0
